aerosol source concentrations and atmospheric lifetime in 10 yr resolution,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Reference: Schüpbach et al., Greenland records of aerosol source and atmospheric lifetime changes from the Eemian to the Holocene, Nature Communications, 2018",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Column A: ,NEEM depth in m below the surface of top of 10 yr interval,,,,,,,,,,,,,,,,
Column B: ,NEEM depth in m below the surface of bottom of 10 yr interval,,,,,,,,,,,,,,,,
Column C: ,NEEM depth in m below the surface of middle of 10 yr interval,,,,,,,,,,,,,,,,
Column D:,"GICC05 age of the top of the 10 yr interval applied to the NEEM ice core (Rasmussen et al., 2013) in years before present (where present is defined as 1950).",,,,,,,,,,,,,,,,
Column E:,"GICC05 age of the bottom of the 10 yr interval applied to the NEEM ice core (Rasmussen et al., 2013) in years before present (where present is defined as 1950).",,,,,,,,,,,,,,,,
Column F:,"GICC05 age of the middle of the 10 yr interval applied to the NEEM ice core (Rasmussen et al., 2013) in years before present (where present is defined as 1950).",,,,,,,,,,,,,,,,
Column G:,mean of NH4+ aerosol concentration at the source for each 10 yr interval in ng/m3 (missing values indicated by NaN),,,,,,,,,,,,,,,,
Column H:,mean + 1 sigma of NH4+ aerosol concentration at the source for each 10 yr interval in ng/m3 (missing values indicated by NaN),,,,,,,,,,,,,,,,
Column I:,mean - 1 sigma of NH4+ aerosol concentration at the source for each 10 yr interval in ng/m3 (missing values indicated by NaN),,,,,,,,,,,,,,,,
Column J:,atmospheric residence time of NH4+ for each 10 yr interval in days ,,,,,,,,,,,,,,,,
Column K:,mean of Na+ aerosol concentration at the source for each 10 yr interval in ng/m3 (missing values indicated by NaN),,,,,,,,,,,,,,,,
Column L:,mean + 1 sigma of Na+ aerosol concentration at the source for each 10 yr interval in ng/m3 (missing values indicated by NaN),,,,,,,,,,,,,,,,
Column M:,mean - 1 sigma of Na+ aerosol concentration at the source for each 10 yr interval in ng/m3 (missing values indicated by NaN),,,,,,,,,,,,,,,,
Column N:,atmospheric residence time of Na+ for each 10 yr interval in days ,,,,,,,,,,,,,,,,
Column O:,mean of Ca2+ aerosol concentration at the source for each 10 yr interval in ng/m3 (missing values indicated by NaN),,,,,,,,,,,,,,,,
Column P:,mean + 1 sigma of Ca2+ aerosol concentration at the source for each 10 yr interval in ng/m3 (missing values indicated by NaN),,,,,,,,,,,,,,,,
Column Q:,mean - 1 sigma of Ca2+ aerosol concentration at the source for each 10 yr interval in ng/m3 (missing values indicated by NaN),,,,,,,,,,,,,,,,
Column R:,atmospheric residence time of Ca2+ for each 10 yr interval in days ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"further reference: Rasmussen et al., A first chronology for the North Greenland Eemian Ice Drilling (NEEM) ice core. Climate of the Past 9, 2713–2730, doi:10.5194/cp-9-2713-2013 (2013).",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
depth_top (m),depth_bott (m),depth_mid (m),ageGICC05ext_top (yr BP),ageGICC05ext_bott (yr BP),ageGICC05_mid (yr BP),NH4source (ng/m3),NH4source+1sigma (ng/m3),NH4source-1sigma (ng/m3),NH4 atm. residence time (days),Nasource (ng/m3),Nasource+1sigma (ng/m3),Nasource-1sigma (ng/m3),Na atm. residence time (days),Casource (ng/m3),Casource+1sigma (ng/m3),Casource-1sigma (ng/m3),Ca atm. residence time (days)
1135.6400,1136.6575,1136.1488,7185.0000,7194.9119,7189.9559,35.548,66.914,4.1827,4.76,232.92,582.70,-116.86,1.59,33.85,82.68,-14.98,7.12
1136.6575,1137.6295,1137.1435,7194.9119,7205.0488,7199.9803,11.8,22.243,1.3565,4.74,185.62,465.66,-94.42,1.58,11.70,28.64,-5.25,7.10
1137.6295,1138.5920,1138.1108,7205.0488,7215.0036,7210.0262,37.856,71.542,4.1694,4.70,161.75,407.77,-84.26,1.57,20.02,49.24,-9.20,7.06
1138.5920,1139.5085,1139.0503,7215.0036,7225.0018,7220.0027,56.53,106.98,6.0802,4.68,140.98,356.32,-74.36,1.56,19.02,46.90,-8.86,7.04
1139.5085,1140.4435,1139.9760,7225.0018,7235.1555,7230.0787,49.152,93.035,5.2689,4.67,123.39,311.95,-65.16,1.56,20.48,50.53,-9.57,7.04
1140.4435,1141.4060,1140.9248,7235.1555,7244.8035,7239.9795,57.951,109.77,6.1264,4.66,208.76,528.56,-111.04,1.55,31.07,76.76,-14.61,7.02
1141.4060,1142.3960,1141.9010,7244.8035,7255.2288,7250.0161,24.067,45.649,2.4845,4.65,133.88,339.87,-72.11,1.55,18.40,45.56,-8.75,7.01
1142.3960,1143.4505,1142.9233,7255.2288,7264.5045,7259.8667,49.325,93.649,5.0003,4.63,167.66,426.44,-91.12,1.54,23.48,58.22,-11.26,6.99
1143.4505,1144.6050,1144.0278,7264.5045,7275.1820,7269.8433,NaN,NaN,NaN,4.63,NaN,NaN,NaN,1.54,NaN,#VALUE!,#VALUE!,6.99
1144.6050,1145.6655,1145.1353,7275.1820,7284.5841,7279.8830,52.442,99.635,5.2494,4.62,159.25,405.55,-87.05,1.54,25.86,64.21,-12.48,6.98
1145.6655,1146.6190,1146.1423,7284.5841,7294.9206,7289.7523,123.57,234.75,12.397,4.63,175.89,447.87,-96.09,1.54,19.87,49.30,-9.57,6.99
1146.6190,1147.6665,1147.1428,7294.9206,7304.8318,7299.8762,20.469,38.91,2.0274,4.62,120.21,306.52,-66.10,1.54,16.68,41.43,-8.07,6.98
1147.6665,1148.8030,1148.2348,7304.8318,7315.0284,7309.9301,NaN,NaN,NaN,4.60,NaN,NaN,NaN,1.53,NaN,#VALUE!,#VALUE!,6.96
1148.8030,1149.9030,1149.3530,7315.0284,7324.7825,7319.9055,NaN,NaN,NaN,4.59,NaN,NaN,NaN,1.53,NaN,#VALUE!,#VALUE!,6.94
1149.9030,1150.8620,1150.3825,7324.7825,7334.8835,7329.8330,35.404,67.515,3.2929,4.57,81.10,208.01,-45.82,1.52,13.32,33.28,-6.64,6.93
1150.8620,1151.7790,1151.3205,7334.8835,7345.4211,7340.1523,116.79,222.51,11.062,4.59,240.28,615.22,-134.67,1.53,22.71,56.65,-11.23,6.94
1151.7790,1152.7085,1152.2438,7345.4211,7355.0018,7350.2115,13.688,26.012,1.3642,4.62,175.26,446.59,-96.07,1.54,32.87,81.60,-15.87,6.98
1152.7085,1153.6710,1153.1898,7355.0018,7364.9562,7359.9790,39.513,74.995,4.0314,4.64,163.54,415.77,-88.69,1.55,23.55,58.34,-11.23,7.00
1153.6710,1154.6980,1154.1845,7364.9562,7375.1890,7370.0726,70.027,132.88,7.1758,4.65,111.93,284.45,-60.59,1.55,20.89,51.71,-9.94,7.01
1154.6980,1155.7520,1155.2250,7375.1890,7384.8652,7380.0271,80.932,153.49,8.3745,4.65,103.96,263.92,-55.99,1.55,41.01,101.45,-19.43,7.01
1155.7520,1156.7025,1156.2273,7384.8652,7394.8139,7389.8395,NaN,NaN,NaN,4.66,NaN,NaN,NaN,1.55,NaN,#VALUE!,#VALUE!,7.02
1156.7025,1157.6010,1157.1518,7394.8139,7405.2652,7400.0395,103.88,196.77,10.995,4.67,138.44,350.52,-73.64,1.56,26.71,65.95,-12.54,7.03
1157.6010,1158.6030,1158.1020,7405.2652,7414.8206,7410.0429,110.31,208.9,11.726,4.67,100.59,254.58,-53.41,1.56,29.52,72.86,-13.82,7.03
